bank,date_sold,price,shipping,condition,color,Notes,eBay_item_number,seller_name,buying_format,quantity sold
JPMorgan,2/7/19,74.99,10.4,Brand New,Tan/Tan,,1.53321E+11,keewaydin239,Buy It Now,2
JPMorgan,2/2/19,79.99,10.4,Brand New,Blue/Blue,,2.23365E+11,plbiznes_39,Auction,1
JPMorgan,2/1/19,95.99,9.99,Brand New,Black/Burgandy,,3.02293E+11,wallstreetbankerbags,Buy It Now,2
JPMorgan,2/1/19,99.99,12.75,Pre-Owned,Blue/Black,,2.23331E+11,phiteco,Auction,1
JPMorgan,1/31/19,49.99,9.99,Brand New,Blue/Grey,,3.02424E+11,wallstreetbankerbags,Auction,1
JPMorgan,1/27/19,74.99,10.4,Brand New,Grey/Blue,,1.53321E+11,keewaydin239,Buy It Now,2
JPMorgan,1/24/19,99.99,9.99,Brand New,Blue/Blue,,3.02293E+11,wallstreetbankerbags,Buy It Now,5
JPMorgan,1/23/19,79.99,10.4,Brand New,Blue/Grey,,1.53321E+11,keewaydin239,Auction,1
JPMorgan,1/18/19,12,12.95,Pre-Owned,Blue/Blue,missing strap,1.83632E+11,bumba2000,Auction,1
JPMorgan,1/5/19,72.99,0,Brand New,Blue/Grey,,3.03009E+11,snowbrdpaint,Auction,1
JPMorgan,1/2/19,18.5,12.95,Brand New,Blue/Black,,1.83607E+11,bumba2000,Auction,1
JPMorgan,1/1/19,69.99,0,Brand New,Blue/Grey,,3.5248E+11,bankerbagsny,Auction,1
JPMorgan,12/14/19,74.99,0,Brand New,Grey/Blue,,1.53278E+11,keewaydin239,Auction,1
JPMorgan,12/14/19,119.99,0,Brand New,Blue/Green,larger style,2.2323E+11,jeremiahstyle,Auction,1
JPMorgan,12/6/19,54.95,0,Brand New,Black/Grey,larger style,2.73349E+11,gragla-dzcmga,Buy It Now,2
JPMorgan,12/4/19,79.99,8.5,Excellent,Black/Tan,larger style,2.54001E+11,ugotstyle,Auction,1
JPMorgan,11/21/19,69.99,0,Brand New,Blue/Grey,,3.5248E+11,bankerbagsny,Auction,1
JPMorgan,11/18/19,45,10.4,Brand New,Blu,,2.23226E+11,plbiznes_39 ,Auction,1
Goldman Sachs,2/6/19,39.99,8.5,Brand New,Blue/Grey,,2.541E+11,treasureseeker1119,Auction,1
Goldman Sachs,2/4/19,26,10.4,Brand New,Blue/Grey,,1.53356E+11,keewaydin239,Auction,1
Goldman Sachs,1/31/19,69.99,0,Brand New,Black/Black,,2.63961E+11,tyledavi-726,Auction,1
Goldman Sachs,1/30/19,60,10,Pre-Owned,Green/Tan,,2.64168E+11,gonerwilliams,Auction,1
Goldman Sachs,1/27/19,51,8.35,Brand New,Blue/Green,,2.64157E+11,mangster24 ,Auction,1
Goldman Sachs,1/15/19,79.99,0,Brand New,Blue/Green,,1.63464E+11,swamptextbooks,Auction,1
Goldman Sachs,1/15/19,82,0,Brand New,Blue/Green,,2.62779E+11,moltersd,Auction,10
Goldman Sachs,1/2/19,99.99,0,Brand New,Blue/Green,larger style,1.53289E+11,swamptextbooks,Auction,1
Goldman Sachs,1/2/19,79.99,0,Brand New,Blue/Green,,1.63452E+11,swamptextbooks,Auction,1
Goldman Sachs,12/27/18,64.99,10.86,Brand New,Blue/Green,,2.64085E+11,rxytmn,Auction,1
Goldman Sachs,12/26/18,84.99,9.99,Brand New,Blue/Grey,,1.73433E+11,bankerbags,Auction,2
Goldman Sachs,12/26/18,79.99,0,Brand New,Blue/Green,,1.53296E+11,swamptextbooks,Auction,1
Goldman Sachs,12/10/18,84.99,9.99,Brand New,Blue/Green,,1.72388E+11,bankerbags,Auction,4
Goldman Sachs,12/8/18,79.99,0,Brand New,Blue/Green,,1.53288E+11,swamptextbooks,Auction,1
Goldman Sachs,12/26/18,79.99,0,Brand New,Blue/Green,,1.53296E+11,swamptextbooks,Auction,1
Goldman Sachs,12/8/18,69.99,10.86,Brand New,Blue/Green,,2.64067E+11,rxytmn,Auction,1
Goldman Sachs,12/8/18,79.99,0,Brand New,Blue/Green,,1.53295E+11,swamptextbooks,Auction,1
Goldman Sachs,12/7/18,79.99,0,Brand New,Blue/Green,,1.63415E+11,swamptextbooks,Auction,1
Goldman Sachs,12/7/18,79.99,0,Brand New,Blue/Green,,1.53285E+11,swamptextbooks,Auction,1
Goldman Sachs,11/30/18,79.99,0,Brand New,Blue/Green,,1.63396E+11,swamptextbooks,Auction,1
Goldman Sachs,11/27/18,64.99,10.86,Brand New,Blue/Green,,2.64016E+11,rxytmn,Auction,1
Goldman Sachs,11/24/18,79.99,0,Brand New,Blue/Green,,1.63357E+11,swamptextbooks,Auction,1
Goldman Sachs,11/18/18,29.99,8.5,Brand New,Blue/Green,,1.32855E+11,slovero,Auction,1
Goldman Sachs,11/11/18,29.99,7.5,Brand New,Blue/Green,,2.63996E+11,cantstoptheshopin,Auction,1
Morgan Stanley,2/5/19,99.99,10.5,Pre-Owned,Blue/Blue,larger style,,,,
Morgan Stanley,12/14/19,74.99,10.4,Brand New,Blue/Grey,,,,,
Morgan Stanley,1/1/18,49.99,0,Pre-Owned,Blue/Grey,,,,,
Stifel Nicolaus,2/1/19,99.99,12.75,Pre-Owned,Blue/Green,,,,,
BofAML,1/1/19,99.99,9.99,Brand New,Blue/Grey,,,,,
BofAML,11/24/18,77.84,20.63,Brand New,Blue/Grey,,,,,
Lehman Brothers,1/9/19,450,0,Pre-Owned,Green/Green,,,,,
Lehman Brothers,12/14/18,500,0,Pre-Owned,Green/Green,,,,,